Search term,Match type,Impr.,Clicks,Avg. CPC,Keyword,CTR
copilot,Broad match,2060,47,0.1,coding ai,0.022815533980582524
inteligencia artificial,Broad match,694,20,0.24,ai programs,0.02881844380403458
blackbox ai,Phrase match (close variant),670,25,0.2,ai software,0.03731343283582089
copilot,Broad match,388,2,0.31,AI software tools,0.005154639175257732
inteligência artificial,Broad match,312,23,0.31,ai programs,0.07371794871794872
copilot ai,Broad match,260,6,0.64,ai software,0.023076923076923078
blackbox ai,Broad match,243,6,0.15,ai software,0.024691358024691357
ia para programar,Broad match,230,27,0.21,ai software,0.11739130434782609
ia gratis,Broad match,217,16,0.19,ai software,0.07373271889400922
lumalabs ai,Broad match,207,7,0.11,ai apps,0.033816425120772944
ai code generator,Phrase match (close variant),186,12,0.25,ai software,0.06451612903225806
gemini ai,Broad match,178,1,0.1,AI software tools,0.0056179775280898875
devin ai,Broad match,178,29,0.14,ai software,0.16292134831460675
copilot,Broad match,159,4,0.1,AI development tools,0.025157232704402517
coding ai,Exact match,154,13,0.47,coding ai,0.08441558441558442
code ai,Broad match,150,6,0.17,ai software,0.04
luma labs ai,Broad match,150,3,0.21,ai apps,0.02
ia para crear imagenes,Broad match,147,13,0.1,AI software tools,0.08843537414965986
inteligencia artificial para crear imagenes,Broad match,140,12,0.1,AI software tools,0.08571428571428572
humanize ai,Broad match,136,14,0.54,ai tools,0.10294117647058823
copilot,Broad match,136,6,0.1,AI coding tools,0.04411764705882353
generador de imagenes ia,Broad match,132,15,0.1,AI software tools,0.11363636363636363
yapay zeka uygulamaları,Phrase match (close variant),131,7,0.1,ai apps,0.05343511450381679
ia de programação,Broad match,118,19,0.35,ai software,0.16101694915254236
ia para programação,Broad match,115,25,0.35,ai programs,0.21739130434782608
black box ai,Phrase match (close variant),114,3,0.25,ai software,0.02631578947368421
codeium,Broad match,114,2,0.3,coding ai,0.017543859649122806
copilot ai,Broad match,103,1,0.25,AI software tools,0.009708737864077669
melhor ia para programação,Broad match,103,21,0.31,ai programs,0.20388349514563106
gemini ai,Broad match,92,3,0.1,ai apps,0.03260869565217391
galileo ai,Broad match,83,1,0.1,ai software,0.012048192771084338
ia para programar gratis,Broad match,82,8,0.36,ai programs,0.0975609756097561
ia para programação,Broad match,80,21,0.49,artificial intelligence programming,0.2625
viggle ai,Broad match,79,4,0.1,ai apps,0.05063291139240506
ia programação,Broad match,75,12,0.29,ai software,0.16
ideogram ai,Broad match,73,5,0.26,AI software tools,0.0684931506849315
leonardo ia,Broad match,73,3,0.1,AI software tools,0.0410958904109589
free ai,Broad match,72,1,0.2,ai software,0.013888888888888888
perplexity,Broad match,71,0,0.0,AI development tools,0.0
leonardo ai,Broad match,69,0,0.0,ai apps,0.0
civitai,Broad match,68,1,0.08,AI development tools,0.014705882352941176
jibyte,Phrase match (close variant),66,1,0.1,ai software,0.015151515151515152
ia para criar slides gratuito,Broad match,65,15,0.32,ai software,0.23076923076923078
copilot,Broad match,65,0,0.0,AI development assistant tools,0.0
ia programacion,Broad match,63,3,0.25,ai software,0.047619047619047616
ai code,Broad match,60,3,0.16,ai software,0.05
ai,Broad match,59,4,0.12,ai software,0.06779661016949153
ai tools,Broad match,59,6,0.39,ai software,0.1016949152542373
ai for coding,Phrase match (close variant),58,4,0.23,ai software,0.06896551724137931
deep ai,Broad match,58,1,0.56,ai software,0.017241379310344827
inteligencia artificial gratis,Broad match,55,2,0.42,ai software,0.03636363636363636
openai,Phrase match (close variant),53,1,0.1,ai software,0.018867924528301886
best ai for coding,Phrase match (close variant),53,5,0.22,ai software,0.09433962264150944
ia de programacion,Broad match,52,5,0.17,ai software,0.09615384615384616
ai coding,Broad match,52,3,0.16,ai software,0.057692307692307696
codegpt,Broad match,50,3,0.35,coding ai,0.06
inteligencia artificial gratis,Broad match,50,12,0.35,ai apps,0.24
ai software engineer,Exact match,50,4,0.12,ai software engineer,0.08
decohere ai,Broad match,50,0,0.0,AI software tools,0.0
crear imagenes con ia,Broad match,50,1,0.1,AI software tools,0.02
jibyte,Broad match,49,2,0.1,AI coding tools,0.04081632653061224
black box ai,Broad match,48,1,0.1,ai software,0.020833333333333332
deepcode,Broad match,48,3,0.27,ai software,0.0625
zzz code ai,Broad match,47,0,0.0,ai apps,0.0
inteligencia artificial gratis,Broad match,47,4,0.1,ai programs,0.0851063829787234
poly ai,Phrase match (close variant),47,3,0.1,ai software,0.06382978723404255
gemini ai,Broad match,46,0,0.0,ai software,0.0
code gpt,Broad match,46,4,0.28,coding ai,0.08695652173913043
ia para programadores,Broad match,46,6,0.27,ai software,0.13043478260869565
creador de imagenes ia,Broad match,46,4,0.1,AI software tools,0.08695652173913043
haiper ai,Broad match,45,0,0.0,AI software tools,0.0
ia generador de imagenes,Broad match,45,7,0.1,AI software tools,0.15555555555555556
codegpt,Broad match,45,0,0.0,AI coding tools,0.0
inteligencia artificial,Broad match,44,0,0.0,coding ai,0.0
promeai,Broad match,44,2,0.1,AI software tools,0.045454545454545456
open ai,Phrase match (close variant),43,1,0.1,ai software,0.023255813953488372
